ano,link
2021,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2021
2020,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2020
2019,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2019
2018,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2018
2017,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2017
2016,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2016
2015,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2015
2014,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2014
2013,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2013
2012,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2012
2011,https://transparencia.alesc.sc.gov.br/diarias_csv.php?ano=2011
